content,labels
தென்காசி தொகுதி புதிய தமிழகம் கட்சி வேட்பாளர் டாக்டர். கிருஷ்ணசாமியை ஆதரித்து தேமுதிக பொதுச் செயலாளர் பிரேமலதா விஜயகாந்த் ஸ்ரீவில்லிபுத்தூரில் பிரச்சாரம். News 18 Tamil Nadu Lok Sabha Election 2024,Neutral
அண்ணன் இதனை சூசகமாக 11 மாதங்கள் முன்பே பேட்டியில் சொல்லிட்டார்..!,Substantiated
ஒரு வருடம் ஆகி விட்டது இந்த துயரம் நேர்ந்து... இன்றுவரை ஒரு ஆணியை கூட பிடுங்காத தமிழக அரசு Dravida Munnetra Kazhagam fails Tamil Nadu,Opinionated
"எடப்பாடியை கண்டுகொள்ளாத ""எடப்பாடி"" face_with_open_eyes_and_hand_over_mouth --- ஆதரிப்பீர் sunrise_over_mountains உதயசூரியன் black_flag triangular_flag --- People or related to people்களின்குரல் ூர் Politics or communityேலம் Politics or communityேலம்4செல்வகணபதி Vote for DMK Vote for India Stalin QA Politics or communityேலம்தெற்கு Politics or communityேலம்வடக்கு Edappadi்பாடி Politics or communityேலம்மேற்கு Edappadi K. Palaniswami",Positive
எங்களின் அரசியல் அடுத்த தலைமுறைக்குமானது People or related to people்களின்_சின்னம்_மைக்,Opinionated
"திமுக - நாதகவினர் திடீர் மோதல்.. பார்த்து சீமான் கொடுத்த ரியாக்சன்.. நொடியில் பதற்றமான களம் Election Campaign Seeman, political leader Naam Tamilar Katchi Thanthi TV",Substantiated
"இதே போன்று, அடுத்து மாணவர்களுக்கும், தமிழ்ப்புதல்வன் என்ற பெயரில், மாதம் ஆயிரம் ரூபாய் தரப்போகிறோம். - கழகத் தலைவர், மாண்புமிகு முதலமைச்சர் Dravida Munnetra Kazhagam (Political Party) MK Stalin, Chief Minister of Tamil Nadu Vote for DMK Vote for India",Substantiated
கொடநாடு கொலை-கொள்ளை வழக்கு; எடப்பாடி உயர்நீதிமன்றத்தில் மனு More Details: Edappadi K. Palaniswami Tamil or related contentொடநாடு,Positive
"வடசென்னை தொகுதி வளரப்போவது உறுதி தேர்தல் பரப்புரை 7/04/24 வெற்றி நமதே Vote for Paul Kanagaraj BJP for North Chennai Paul Kanagaraj for North Chennai Indian General Elections 2024 Tamil Nadu BJP Lok Sabha Elections 2024 RCPaul Kanagaraj, Politician Dravida Munnetra Kazhagam fails Tamil Nadu Pattali Makkal Katchi",Positive
"காங்கிரசின் காமராஜரை கொச்சை படுத்தி ஆட்சியை கைப்பற்றியது Tamil (Short form for Tamil-related content)ிமுக , இன்று காங்கிரஸும், திமுகவும் ஒன்று சேர்ந்து கொள்ளையடிக்க கூட்டணி வைத்துள்ளனர் Tamil (Short form for Tamil-related content)ிமுக_நாட்டுக்கும்_வீட்டுக்கும்_கேடு Dravida Munnetra Kazhagam fails Tamil Nadu DMK Fails",Opinionated
"நீட் தேர்வுக்கு விலக்கு அளிக்கப்படும் என காங்கிரஸ் வாக்குறுதி அளித்துள்ளது தேர்தல் நாடகம் என சீமான் விமர்சனம்.. | Take 1 Tamil | Seeman, leader of Naam Tamilar Katchi Naam Tamilar Katchi (Political Party) Indian National Congress National Eligibility cum Entrance Test Indian General Elections 2024",Opinionated
"""மோடி வருவாரு ஓடிப் போயிருவாரு"" Narendra Modi, Prime Minister of India Bharatiya Janata Party Seeman, leader of Naam Tamilar Katchi Naam Tamilar Katchi (Political Party) Tamil News Updates",Sarcastic
"""இந்த ரூ.1000 அதுவும் தேர்தல் நேரத்தில்..""பெண்களுக்கு சுருக்குனு சொன்ன கருத்து Speech by Seeman | Seeman, leader of Naam Tamilar Katchi | Lok Sabha Election 2024 Election Campaign Activities | Naam Tamilar Katchi (Political Party) Thanthi TV News",Opinionated
முதல்ல படையல் போட்டு காரியம் செஞ்சானுக .... இப்போ செருப்பு மாலை மரியாதை.... எங்கடா போனீங்க …மானங்கெட்ட உ.பிஸ் rolling_on_the_floor_laughing rolling_on_the_floor_laughing sweat_droplets sweat_droplets sweat_droplets Tamil (Short form for Tamil-related content)ிருட்டு_திமுக Politics or communityாத்தானின்_ஆட்சி Dravida Munnetra Kazhagam fails Tamil Nadu By-elections or Deputyிஸ்பரிதாபங்கள் Tamil (Short form for Tamil-related content)ிராவிடமாடல்பரிதாபங்கள்,Positive
"Tamil (Short form for Tamil-related content)ிமுக தேர்தல் பிரச்சாரங்கள் நடக்கும் இடமெல்லாம் மக்கள் பேராதரவின் காரணமாக மாநாடு போல கூட்டங்கள் நிறைந்து வழிகின்றது. மக்கள் நல திட்டங்கள் செய்து இருந்தால் இதே கூட்டம் மத்தவங்களுக்கும் வரும். Vote for DMK MK Stalin, Chief Minister of Tamil Nadu Dravida Munnetra Kazhagam (Political Party)",Sarcastic
"அன்பை வெளிப்படுத்திய தம்பிகள் மகிழ்ச்சி வெள்ளத்தில் மிதந்த அண்ணன் செந்தமிழன் சீமான் red_heart People or related to people்களின்_சின்னம்_மைக் Mic, the symbol representing the voice of the people Elections 2024 Tamil Nadu or Southாகப்பட்டினம் Tamil (Short form for Tamil-related content)ிருவாரூர்",Negative
"அப்பா திருடன் மகன் திருடன்... குட்டிக்கதை சொன்ன சீமான், குலுங்கி சிரித்த கூட்டம் ! Naam Tamilar Katchi (Political Party) Seeman, political leader Politics or communityீமான் Tamil Nadu or Southாம்தமிழர்கட்சி_சின்னம்_ஒலிவாங்கி Tamil (Short form for Tamil-related content)ிருடர்_முன்னேற்ற_கழகம்",Neutral
