Id,Labels
PS_01,Sarcastic
PS_02,Opinionated
PS_03,Neutral
PS_04,Positive
PS_05,Positive
PS_06,Neutral
PS_07,Opinionated
PS_08,Neutral
PS_09,None of the above
PS_10,Positive
PS_11,Neutral
PS_12,Neutral
PS_13,Opinionated
PS_14,Sarcastic
PS_15,Negative
PS_16,Substantiated
PS_17,Opinionated
PS_18,Negative
PS_19,Positive
PS_20,Neutral
PS_21,Neutral
PS_22,Neutral
PS_23,Substantiated
PS_24,Sarcastic
PS_25,Opinionated
PS_26,None of the above
PS_27,Positive
PS_28,Sarcastic
PS_29,Sarcastic
PS_30,Substantiated
PS_31,Neutral
PS_32,Positive
PS_33,Sarcastic
PS_34,Positive
PS_35,Sarcastic
PS_36,Positive
PS_37,Sarcastic
PS_38,Sarcastic
PS_39,Substantiated
PS_40,Neutral
PS_41,Substantiated
PS_42,Neutral
PS_43,Sarcastic
PS_44,None of the above
PS_45,Sarcastic
PS_46,Sarcastic
PS_47,Neutral
PS_48,Neutral
PS_49,Positive
PS_50,Neutral
PS_51,Negative
PS_52,Negative
PS_53,Opinionated
PS_54,Positive
PS_55,Negative
PS_56,Opinionated
PS_57,Substantiated
PS_58,Neutral
PS_59,Substantiated
PS_60,Neutral
PS_61,Sarcastic
PS_62,Negative
PS_63,Positive
PS_64,Opinionated
PS_65,Sarcastic
PS_66,Negative
PS_67,Opinionated
PS_68,Sarcastic
PS_69,Neutral
PS_70,Neutral
PS_71,Negative
PS_72,Neutral
PS_73,Substantiated
PS_74,Positive
PS_75,Opinionated
PS_76,Opinionated
PS_77,Positive
PS_78,None of the above
PS_79,Neutral
PS_80,Sarcastic
PS_81,Sarcastic
PS_82,Opinionated
PS_83,Neutral
PS_84,Negative
PS_85,Positive
PS_86,Sarcastic
PS_87,Sarcastic
PS_88,Sarcastic
PS_89,Neutral
PS_90,Positive
PS_91,Opinionated
PS_92,None of the above
PS_93,Opinionated
PS_94,Opinionated
PS_95,Opinionated
PS_96,Sarcastic
PS_97,Neutral
PS_98,Sarcastic
PS_99,Sarcastic
PS_100,Positive
PS_101,Neutral
PS_102,Substantiated
PS_103,Neutral
PS_104,Opinionated
PS_105,Neutral
PS_106,Neutral
PS_107,Neutral
PS_108,Opinionated
PS_109,Neutral
PS_110,Neutral
PS_111,Neutral
PS_112,Positive
PS_113,Opinionated
PS_114,Opinionated
PS_115,Substantiated
PS_116,Sarcastic
PS_117,Neutral
PS_118,Neutral
PS_119,Opinionated
PS_120,Negative
PS_121,None of the above
PS_122,Neutral
PS_123,Neutral
PS_124,Substantiated
PS_125,Neutral
PS_126,Sarcastic
PS_127,Neutral
PS_128,None of the above
PS_129,Neutral
PS_130,None of the above
PS_131,Negative
PS_132,Sarcastic
PS_133,Negative
PS_134,Neutral
PS_135,Opinionated
PS_136,None of the above
PS_137,Opinionated
PS_138,Negative
PS_139,Opinionated
PS_140,Positive
PS_141,Sarcastic
PS_142,Neutral
PS_143,Positive
PS_144,Sarcastic
PS_145,Negative
PS_146,Opinionated
PS_147,Neutral
PS_148,Neutral
PS_149,Opinionated
PS_150,Opinionated
PS_151,Neutral
PS_152,Sarcastic
PS_153,Substantiated
PS_154,Neutral
PS_155,Neutral
PS_156,Neutral
PS_157,Neutral
PS_158,Sarcastic
PS_159,Negative
PS_160,Neutral
PS_161,None of the above
PS_162,Neutral
PS_163,Neutral
PS_164,Opinionated
PS_165,Positive
PS_166,Opinionated
PS_167,Neutral
PS_168,Positive
PS_169,Opinionated
PS_170,Sarcastic
PS_171,Neutral
PS_172,Sarcastic
PS_173,Opinionated
PS_174,None of the above
PS_175,Sarcastic
PS_176,None of the above
PS_177,Sarcastic
PS_178,Opinionated
PS_179,Sarcastic
